NAME,DATA,DEVICE,PUBLISHED AT
temperatureF,69.8666,sanaz,"April 29, 2021 at 01:06AM"
temperatureF,67.371803,sanaz,"April 29, 2021 at 01:07AM"
temperatureF,70.519997,sanaz,"April 29, 2021 at 01:08AM"
temperatureF,71.708,sanaz,"April 29, 2021 at 01:09AM"
temperatureF,71.411003,sanaz,"April 29, 2021 at 01:10AM"
temperatureF,71.589203,sanaz,"April 29, 2021 at 01:11AM"
temperatureF,69.926003,sanaz,"April 29, 2021 at 01:12AM"
temperatureF,68.500397,sanaz,"April 29, 2021 at 01:13AM"
temperatureF,72.539597,sanaz,"April 29, 2021 at 01:14AM"
temperatureF,72.242599,sanaz,"April 29, 2021 at 01:15AM"
temperatureF,71.945602,sanaz,"April 29, 2021 at 01:16AM"
temperatureF,71.054596,sanaz,"April 29, 2021 at 01:17AM"
temperatureF,71.232803,sanaz,"April 29, 2021 at 01:18AM"
temperatureF,70.817001,sanaz,"April 29, 2021 at 01:19AM"
temperatureF,67.906403,sanaz,"April 29, 2021 at 01:20AM"
temperatureF,70.995201,sanaz,"April 29, 2021 at 01:21AM"
temperatureF,73.430603,sanaz,"April 29, 2021 at 01:22AM"
temperatureF,73.133598,sanaz,"April 29, 2021 at 01:23AM"
temperatureF,75.569,sanaz,"April 29, 2021 at 01:24AM"
temperatureF,69.272598,sanaz,"April 29, 2021 at 01:25AM"
temperatureF,75.628403,sanaz,"April 29, 2021 at 01:26AM"
temperatureF,68.143997,sanaz,"April 29, 2021 at 01:27AM"
temperatureF,71.589203,sanaz,"April 29, 2021 at 01:28AM"
temperatureF,71.8862,sanaz,"April 29, 2021 at 01:29AM"
temperatureF,69.213196,sanaz,"April 29, 2021 at 01:30AM"
temperatureF,71.945602,sanaz,"April 29, 2021 at 01:31AM"
temperatureF,75.212601,sanaz,"April 29, 2021 at 01:32AM"
temperatureF,70.0448,sanaz,"April 29, 2021 at 01:33AM"
temperatureF,72.183197,sanaz,"April 29, 2021 at 01:34AM"
temperatureF,71.826805,sanaz,"April 29, 2021 at 01:35AM"
temperatureF,73.133598,sanaz,"April 29, 2021 at 01:36AM"
temperatureF,69.985397,sanaz,"April 29, 2021 at 01:37AM"
temperatureF,72.123802,sanaz,"April 29, 2021 at 01:38AM"
temperatureF,69.985397,sanaz,"April 29, 2021 at 01:39AM"
temperatureF,72.895996,sanaz,"April 29, 2021 at 01:40AM"
temperatureF,72.598999,sanaz,"April 29, 2021 at 01:41AM"
temperatureF,69.213196,sanaz,"April 29, 2021 at 01:42AM"
temperatureF,69.985397,sanaz,"April 29, 2021 at 01:43AM"
temperatureF,68.678596,sanaz,"April 29, 2021 at 01:44AM"
temperatureF,72.598999,sanaz,"April 29, 2021 at 01:45AM"
